"Trade Date","Ticker","Open Price","Close Price","Volume","Sector","Validated","Currency","Exchange","Notes"
"09/01/2025","AAPL ","192.47","191.90","21646536"," Technology ","na","-"," NASDAQ"," gap up "
"09/01/2025","MSFT","456.51","459.76",""," Technology","-","na","na","NA"
"09/01/2025","","151.27","150.45","20405836","Consumer Discretionary ","na","usd"," NASDAQ ","-"
"09/01/2025","-","139.61","141.17","12795579","-","Yes",""," NYSE"," gap down "
"09/01/2025","-","1190.21","1198.56","16389274"," Semiconductors ","na","USD","NYSE",""
"09/01/2025"," TSLA ","245.81","244.27","13350388","Automotive","na","usd"," NASDAQ ","-"
"09/01/2025"," META ","493.91","491.42","12963843"," Communication Services","NO","USD"," NASDAQ "," gap down "
"09/01/2025","NFLX","603.91","599.53","-","Communication Services ","na","usd","NYSE","EoD"
"09/02/2025","AAPL ","-","188.92","10513474","Technology ","","-","NYSE"," pre-earnings "
"09/02/2025"," MSFT ","450.93","-","17277392","Technology ","","usd","NYSE ","EoD"
"09/02/2025","AMZN","na","na","24690780","Consumer Discretionary ","Yes","NA","NYSE ","NA"
"09/02/2025","","","142.16","10718842"," Communication Services ","Yes",""," NYSE ",""
"09/02/2025"," NVDA","1180.14","1176.78","14094696","Semiconductors","NO","-","na","rev miss"
"09/02/2025"," TSLA ","na","242.69","-","Automotive ","NO","USD","na","-"
"09/02/2025","META","493.87","498.86","11887391","Communication Services","YES","-","NASDAQ ","NA"
"09/02/2025"," NFLX ","na","592.66","21608458","Communication Services ","","NA","-","EoD"
"09/03/2025"," AAPL","","191.24","14508076","Technology","na","-","NASDAQ "," gap down "
"09/03/2025","MSFT ","461.15","461.28","19595278"," Technology ","-","NA","na"," pre-earnings "
"09/03/2025"," AMZN","152.58","152.26","15180231"," Consumer Discretionary","YES","-"," NYSE"," gap up "
"09/03/2025","GOOGL","","142.15","26850869"," Communication Services","n","usd"," NASDAQ ","NA"
"09/03/2025"," NVDA","-","1185.85","20497116"," Semiconductors ","-","usd"," NASDAQ ","EoD"
"09/03/2025","TSLA ","246.40","245.27","","Automotive ","-","","na"," gap up "
"09/03/2025","META ","498.06","503.78","14129142","Communication Services ","-","NA"," NYSE","-"
"09/03/2025"," NFLX ","595.84","","25825512","Communication Services ","n","-"," NYSE","-"
"09/04/2025"," AAPL ","191.03","189.90","13637583","na","-",""," NASDAQ"," pre-earnings "
"09/04/2025"," MSFT ","459.39","459.05","-"," Technology","n","USD","na"," gap up "
"09/04/2025","","153.32","-","-","na","No","NA","NASDAQ ","rev miss"
"09/04/2025","GOOGL ","-","139.76","21481080"," Communication Services ","N","USD","-","NA"
"09/04/2025","NVDA","1170.02","1168.81","13879183"," Semiconductors","Yes","-"," NYSE"," gap up "
"09/04/2025","","242.88","","18100553"," Automotive ","y",""," NYSE "," gap down "
"09/04/2025"," META","497.77","501.24","na","Communication Services ","y","USD","-","NA"
"09/04/2025"," NFLX","598.32","598.00","12610631"," Communication Services ","YES","USD","-"," gap up "
"09/05/2025","na","191.78","-","16723175","Technology","na","-"," NYSE",""
"09/05/2025"," MSFT","","na","8352061","Technology","n","na","NYSE","EoD"
"09/05/2025"," AMZN ","151.52","-","14869174","Consumer Discretionary ","No","-",""," pre-earnings "
"09/05/2025","GOOGL ","140.85","139.93","14453664","Communication Services ","Y",""," NASDAQ","NA"
"09/05/2025","NVDA ","1182.79","1194.65","26249454"," Semiconductors ","-","usd"," NASDAQ "," gap down "
"09/05/2025","TSLA","-","247.70","18533645"," Automotive","YES",""," NYSE "," gap down "
"09/05/2025"," META","501.15","499.63","13419204"," Communication Services ","y","-"," NASDAQ "," gap down "
"09/05/2025","","na","615.14","12069464","Communication Services ","N","-"," NYSE ","rev miss"
"09/08/2025","na","","191.86","-","Technology ","-","NA","na","EoD"
"09/08/2025"," MSFT","457.52","459.51","-","-","n","USD"," NYSE ","NA"
"09/08/2025"," AMZN ","151.69","153.27","23437878"," Consumer Discretionary ","na","-","na","-"
"09/08/2025","na","142.70","142.99","14501755","Communication Services","NO","USD","NASDAQ","rev miss"
"09/08/2025"," NVDA ","1176.38","1181.80","7701521"," Semiconductors","Y","USD"," NYSE","EoD"
"09/08/2025","","246.91","","14507099"," Automotive ","n","-"," NASDAQ","NA"
"09/08/2025"," META ","492.97","492.95","9875627","Communication Services ","na","","NYSE ","-"
"09/08/2025"," NFLX ","598.68","597.17","10608256","Communication Services","-","na"," NASDAQ ","NA"
"09/09/2025","","na","190.98","15815047","Technology ","Yes","-","NYSE",""
"09/09/2025","na","456.55","451.79","13875045"," Technology","","USD"," NASDAQ "," gap down "
"09/09/2025","AMZN ","152.16","149.57","12146366","Consumer Discretionary ","-","NA"," NYSE"," gap up "
"09/09/2025"," GOOGL","137.92","136.55","17649607","Communication Services","-","na","NASDAQ ","EoD"
"09/09/2025","NVDA ","1170.34","1176.41","26113271"," Semiconductors ","NO","usd","NASDAQ ","rev miss"
"09/09/2025","TSLA","248.78","247.89","22284450"," Automotive ","N","","-","rev miss"
"09/09/2025","","501.25","-","15043130"," Communication Services","YES","-","na"," gap up "
"09/09/2025"," NFLX ","594.38","593.09","12996923","Communication Services ","Yes","na","na",""
"09/10/2025","AAPL","191.32","192.19","na"," Technology ","","-","NYSE ",""
"09/10/2025","MSFT ","455.90","453.30","15786843","Technology ","y","-"," NYSE","EoD"
"09/10/2025"," AMZN","152.64","153.54","16517181"," Consumer Discretionary","","USD"," NYSE "," gap up "
"09/10/2025","","139.34","138.02","14327902","Communication Services","Yes",""," NYSE ","EoD"
"09/10/2025","NVDA ","1163.54","1163.42","-"," Semiconductors","na","","-","rev miss"
"09/10/2025","TSLA ","246.61","246.59","na","Automotive ","na","-","NYSE"," pre-earnings "
"09/10/2025","-","-","497.72","21308792","Communication Services ","-","NA","NYSE ","-"
"09/10/2025","NFLX ","608.08","609.44","-","Communication Services ","-","NA"," NYSE","-"
"09/11/2025"," AAPL ","191.03","190.36","-"," Technology","NO","na","NASDAQ"," gap up "
"09/11/2025","MSFT","459.28","457.20","9130603"," Technology ","NO","-","na","NA"
"09/11/2025","-","154.25","154.45","-"," Consumer Discretionary ","Yes","NA"," NYSE ","NA"
"09/11/2025"," GOOGL ","141.46","141.49","16925082"," Communication Services ","Y","-","NYSE"," gap up "
"09/11/2025","NVDA","1147.86","1145.22","18494202","Semiconductors","na","NA","NASDAQ ","NA"
"09/11/2025","-","245.57","244.12","13802532"," Automotive ","na","na",""," gap down "
"09/11/2025","META ","500.24","na","14020760","","y","NA","NASDAQ "," gap down "
"09/11/2025"," NFLX ","599.71","603.93","28234156"," Communication Services","Yes","","NASDAQ ","EoD"
"09/12/2025"," AAPL ","","193.87","17695286"," Technology","YES","usd"," NYSE "," gap up "
"09/12/2025"," MSFT ","458.13","459.11","na","na","Y","NA"," NYSE","NA"
"09/12/2025","na","153.37","154.46","15690960","Consumer Discretionary","-","USD","NASDAQ"," pre-earnings "
"09/12/2025"," GOOGL ","140.56","","21553254","na","Y","na","NYSE ","EoD"
"09/12/2025","NVDA","1188.48","1185.35","8148842"," Semiconductors","y","USD","-","rev miss"
"09/12/2025","","250.77","253.02","18937073"," Automotive ","na","","NASDAQ",""
"09/12/2025","META","493.87","499.66","17390597"," Communication Services","na",""," NASDAQ ","-"
"09/12/2025"," NFLX","-","601.90","16385756"," Communication Services ","na",""," NASDAQ","rev miss"
"09/15/2025"," AAPL ","189.63","189.85","18057940","Technology ","N","-"," NASDAQ ","-"
"09/15/2025","-","455.65","459.03","24421544"," Technology ","Yes","USD"," NASDAQ "," gap down "
"09/15/2025","","154.34","153.27","na","Consumer Discretionary ","-","USD","","EoD"
"09/15/2025","-","141.02","141.53","na","na","na","-"," NYSE ","NA"
"09/15/2025"," NVDA","","","-"," Semiconductors","na","-"," NASDAQ ","EoD"
"09/15/2025"," TSLA","246.87","247.52","16971630"," Automotive ","y","USD","NASDAQ","EoD"
"09/15/2025","META","495.26","491.22","19964963"," Communication Services","n","-","NASDAQ","rev miss"
"09/15/2025","na","602.39","594.98","19970497","na","N","usd","NYSE "," gap up "
"09/16/2025","AAPL ","189.26","na","11852966"," Technology ","y","na"," NASDAQ ","NA"
"09/16/2025"," MSFT","451.59","454.19","20995069","Technology ","No","-"," NYSE"," gap up "
"09/16/2025","AMZN","149.32","-","20326822"," Consumer Discretionary","YES","usd","NYSE "," gap up "
"09/16/2025"," GOOGL","141.50","139.55","","Communication Services ","y","NA"," NASDAQ"," gap down "
"09/16/2025","NVDA ","1165.29","1172.28","15811224","Semiconductors","No","na"," NYSE ","-"
"09/16/2025","TSLA ","246.93","246.15","10039069"," Automotive ","na","na"," NYSE"," pre-earnings "
"09/16/2025","na","493.58","487.61","13618139"," Communication Services ","-","","NYSE"," pre-earnings "
"09/16/2025"," NFLX ","601.33","601.15","12972173","Communication Services","No","na","NYSE ",""
"09/17/2025"," AAPL ","193.25","191.35","18228217"," Technology ","",""," NYSE","EoD"
"09/17/2025","MSFT ","460.84","-","12013389"," Technology ","na","NA","NASDAQ ","EoD"
"09/17/2025"," AMZN ","151.75","na","17792887"," Consumer Discretionary","YES","-"," NYSE "," gap down "
"09/17/2025"," GOOGL ","142.62","143.88","15044928"," Communication Services ","","na","NYSE "," gap down "
"09/17/2025","NVDA","1157.37","1167.72","20225737"," Semiconductors ","","USD"," NASDAQ"," pre-earnings "
"09/17/2025","-","245.82","-","14626814"," Automotive ","-","NA","NASDAQ ",""
"09/17/2025"," META","496.12","na","17607005"," Communication Services ","Yes","usd"," NYSE ","NA"
"09/17/2025","NFLX ","-","589.13","21219337"," Communication Services ","NO","NA"," NASDAQ",""
"09/18/2025","AAPL ","192.29","-","10264251"," Technology","na","usd"," NASDAQ "," gap up "
"09/18/2025","MSFT","469.77","469.20","-","-","na",""," NASDAQ",""
"09/18/2025","","151.25","","15939208","","N","-","NASDAQ",""
"09/18/2025","GOOGL ","na","143.09","13643371"," Communication Services ","","-"," NASDAQ","NA"
"09/18/2025","","na","1182.52","18689884"," Semiconductors","y","na","NASDAQ ","rev miss"
"09/18/2025","TSLA ","248.48","na","16926640"," Automotive ","-","-","-"," gap up "
"09/18/2025"," META","489.98","492.49","14081860","","-","USD"," NASDAQ"," gap down "
"09/18/2025"," NFLX","601.28","603.35","-","Communication Services ","","usd","NYSE "," pre-earnings "
"09/19/2025"," AAPL","194.46","195.34","14420971","na","No","NA"," NASDAQ","rev miss"
"09/19/2025","MSFT ","463.19","465.26","16666909"," Technology ","YES","USD","-",""
"09/19/2025"," AMZN","147.51","146.91","na"," Consumer Discretionary ","",""," NASDAQ ","rev miss"
"09/19/2025"," GOOGL","142.12","140.39","16319618","-","Yes","-"," NYSE ","rev miss"
"09/19/2025","na","1187.91","na","14070878"," Semiconductors","-","usd"," NASDAQ ","EoD"
"09/19/2025","TSLA","249.10","249.97","18295999"," Automotive ","n","-","NYSE",""
"09/19/2025","META ","492.44","-","na"," Communication Services","Yes","","NYSE ","NA"
"09/19/2025"," NFLX ","602.35","598.24","na"," Communication Services","Yes","NA"," NYSE "," gap up "
"09/22/2025"," AAPL","191.22","190.35","13110656","Technology ","-","usd","NYSE "," gap down "
"09/22/2025"," MSFT ","455.39","456.08","8276829","na","Yes","","NASDAQ "," gap down "
"09/22/2025","-","153.27","153.77","9759391"," Consumer Discretionary ","NO","-","NASDAQ"," gap up "
"09/22/2025","GOOGL ","140.47","141.13","12664515","Communication Services ","y","","NYSE "," pre-earnings "
"09/22/2025"," NVDA ","1161.16","1161.84","14654139"," Semiconductors","n","na"," NASDAQ ",""
"09/22/2025","TSLA ","244.43","249.62","23818197"," Automotive ","Yes",""," NASDAQ ","-"
"09/22/2025"," META","494.55","492.45","18296496","Communication Services","N","-"," NYSE ","rev miss"
"09/22/2025","NFLX ","607.78","610.89","20957288"," Communication Services ","No","NA"," NASDAQ"," pre-earnings "
"09/23/2025","AAPL","190.72","192.45","21215631","Technology ","NO","na","NASDAQ ","rev miss"
"09/23/2025"," MSFT ","458.03","457.23","12499333","","N","-","NYSE "," pre-earnings "
"09/23/2025","AMZN ","","","17727281"," Consumer Discretionary ","na","usd","NYSE","NA"
"09/23/2025","GOOGL ","140.31","141.13","-","Communication Services ","y","USD","-",""
"09/23/2025","na","1163.04","1171.71",""," Semiconductors ","n","usd"," NYSE "," gap up "
"09/23/2025"," TSLA ","246.55","","13092898"," Automotive","-","na"," NYSE ","EoD"
"09/23/2025"," META ","497.11","495.49","-"," Communication Services","Y","na"," NYSE ","-"
"09/23/2025","NFLX","594.55","598.47","10091800","Communication Services ","N","-","NASDAQ"," pre-earnings "
"09/24/2025","AAPL ","191.89","193.26","-","Technology","","NA"," NASDAQ"," gap down "
"09/24/2025","na","na","448.70","17854112","","n","USD"," NYSE ","rev miss"
"09/24/2025"," AMZN","152.74","151.31","10422864"," Consumer Discretionary ","-","-",""," gap up "
"09/24/2025"," GOOGL ","-","138.27","23671036","","-","","NASDAQ "," pre-earnings "
"09/24/2025"," NVDA","1174.66","-","19087677"," Semiconductors","YES","-"," NASDAQ","rev miss"
"09/24/2025"," TSLA ","241.65","240.84","","na","","NA",""," pre-earnings "
"09/24/2025","META ","498.03","498.36","15046697"," Communication Services","","USD"," NYSE"," gap down "
"09/24/2025","NFLX ","","609.46","19565436","-","N","-","",""
"09/25/2025"," AAPL","190.32","191.00","15829296"," Technology ","Yes","-"," NASDAQ"," gap down "
"09/25/2025","MSFT","460.39","465.33",""," Technology ","NO","-"," NYSE ",""
"09/25/2025"," AMZN","152.42","152.68","na","","Yes","USD","NYSE","NA"
"09/25/2025"," GOOGL","140.59","140.39","15032508"," Communication Services","na","","NASDAQ "," pre-earnings "
"09/25/2025"," NVDA","-","","24854400","Semiconductors","na","usd","NYSE ","-"
"09/25/2025","-","na","244.64","13844080"," Automotive","na","NA","NYSE ","rev miss"
"09/25/2025"," META ","492.18","-","17495648"," Communication Services ","y","NA","NASDAQ"," pre-earnings "
"09/25/2025","NFLX","601.63","593.82","19759188","Communication Services","-","usd","NASDAQ ","NA"
"09/26/2025","","189.58","188.31","na"," Technology ","NO","USD","NASDAQ "," gap down "
"09/26/2025"," MSFT ","459.44","462.15","16868911","Technology ","-","-"," NYSE","EoD"
"09/26/2025","AMZN ","152.05","-","20302680","-","-","-"," NYSE "," pre-earnings "
"09/26/2025","-","141.07","140.02","na"," Communication Services ","Yes","NA",""," gap up "
"09/26/2025"," NVDA","1186.61","1196.44","16979881","Semiconductors ","y","","NASDAQ","EoD"
"09/26/2025"," TSLA","244.58","-","16454864"," Automotive ","NO","-"," NASDAQ "," gap up "
"09/26/2025"," META ","498.69","501.48","na"," Communication Services","No","-","NASDAQ",""
"09/26/2025","NFLX","","597.42","10203960"," Communication Services","n","-","NASDAQ"," pre-earnings "
"09/29/2025"," AAPL ","192.90","191.77","13649802"," Technology","na",""," NASDAQ"," gap up "
"09/29/2025","","458.11","458.13","9925289","Technology ","na","NA","na","rev miss"
"09/29/2025"," AMZN","152.60","152.63","19411228","Consumer Discretionary ","-","NA"," NASDAQ ","rev miss"
"09/29/2025","GOOGL","140.04","140.24","20032515"," Communication Services ","","NA"," NYSE "," gap down "
"09/29/2025"," NVDA ","1148.04","1154.16","9917099","Semiconductors ","YES","usd"," NASDAQ","-"
"09/29/2025","TSLA ","-","243.76","24687847","Automotive ","y","-"," NASDAQ ",""
"09/29/2025"," META ","492.21","491.89","15418173","Communication Services ","-","usd"," NASDAQ "," gap down "
"09/29/2025","NFLX ","606.48","602.90","12706336","Communication Services ","NO","NA"," NASDAQ "," gap down "
"09/30/2025"," AAPL","191.65","na","13133292"," Technology ","N","-"," NYSE"," pre-earnings "
"09/30/2025"," MSFT","462.20","457.71","16430608","Technology ","-","-","NYSE","NA"
"09/30/2025"," AMZN","152.25","151.45","16867818"," Consumer Discretionary","na","NA"," NYSE","EoD"
"09/30/2025","GOOGL ","140.75","142.17","9533871","-","n","NA",""," pre-earnings "
"09/30/2025"," NVDA","1185.83","1182.04","15924683","Semiconductors ","Yes",""," NASDAQ","rev miss"
"09/30/2025","TSLA","240.22","237.15","12315540","na","-","NA"," NASDAQ","EoD"
"09/30/2025","META ","-","496.95","12120961","Communication Services","na","USD"," NASDAQ"," gap up "
"09/30/2025","NFLX ","na","-","15315890"," Communication Services ","na","usd",""," pre-earnings "
"10/01/2025","-","na","194.61",""," Technology","na","USD","",""
"10/01/2025"," MSFT","461.41","na","18088697"," Technology","N","-","NASDAQ","NA"
"10/01/2025","-","152.28","151.35","11996665","Consumer Discretionary ","N",""," NASDAQ "," pre-earnings "
"10/01/2025"," GOOGL ","141.20","142.05","21916778"," Communication Services ","y","USD"," NYSE ","-"
"10/01/2025"," NVDA ","1175.26","1176.72","-"," Semiconductors ","No","USD"," NYSE ","NA"
"10/01/2025","TSLA ","242.74","244.34","21182912","Automotive","Y","NA","-"," gap down "
"10/01/2025"," META ","500.05","496.37","18594788","Communication Services ","Yes","usd"," NYSE ","NA"
"10/01/2025"," NFLX ","604.21","-","14276003","na","No","-","NYSE ","NA"
"10/02/2025"," AAPL","189.67","na","16242276"," Technology","na","na"," NASDAQ","NA"
"10/02/2025"," MSFT ","456.77","456.91",""," Technology","YES","NA"," NASDAQ","NA"
"10/02/2025","-","154.17","154.29","17328093","Consumer Discretionary","y","NA"," NASDAQ ","NA"
"10/02/2025"," GOOGL","142.74","143.26","16906969"," Communication Services ","na","NA","NYSE ","NA"
"10/02/2025","NVDA ","","1176.98","","Semiconductors ","No","usd"," NYSE ","EoD"
"10/02/2025","TSLA","244.33","247.89","21226923","Automotive","","","NYSE"," gap up "
"10/02/2025","-","na","488.27","18958682","Communication Services","N","-"," NASDAQ","rev miss"
"10/02/2025","-","594.85","596.41","-"," Communication Services","Yes","NA"," NASDAQ "," gap down "
"10/03/2025"," AAPL","191.15","191.14","17645740","","","","-","NA"
"10/03/2025"," MSFT ","456.55","454.32","na","Technology","-","NA","NYSE ","NA"
"10/03/2025","AMZN ","151.24","150.67","8042702"," Consumer Discretionary","YES",""," NYSE","rev miss"
"10/03/2025","GOOGL ","na","142.58","13081100"," Communication Services ","NO","USD"," NASDAQ "," gap down "
"10/03/2025","NVDA ","","1189.83","16429220","Semiconductors","-","","na","-"
"10/03/2025","na","-","247.66",""," Automotive ","na","NA","NYSE "," pre-earnings "
"10/03/2025"," META ","499.14","500.78","","Communication Services","N",""," NASDAQ","-"
"10/03/2025"," NFLX ","608.54","606.87","","","YES","na",""," gap up "
